time,lat,lon,alt,HR,http://example.com/runcadence,http://example.com/speed
2015-01-30T22:45:10.000Z,37.860769210383296,37.860769210383296,66.19999694824219,77,81,0.6439999938011168
2015-01-30T22:45:16.000Z,37.86087733693421,37.86087733693421,66.80000305175781,82,83,3.115999937057495
2015-01-30T22:45:17.000Z,37.86090566776693,37.86090566776693,66.80000305175781,86,84,3.4059998989105225
2015-01-30T22:45:19.000Z,37.860960653051734,37.860960653051734,67.0,92,84,3.7139999866485596
2015-01-30T22:45:20.000Z,37.86099040880799,37.86099040880799,67.19999694824219,95,84,3.7880001068115234
2015-01-30T22:45:21.000Z,37.861062325537205,37.861062325537205,67.19999694824219,98,84,3.8540000915527344
2015-01-30T22:45:22.000Z,37.861062325537205,37.861062325537205,67.19999694824219,102,84,4.01200008392334
2015-01-30T22:45:24.000Z,37.86114010959864,37.86114010959864,67.19999694824219,106,84,4.2170000076293945
2015-01-30T22:45:25.000Z,37.86121646873653,37.86121646873653,67.4000015258789,109,83,4.35699987411499
2015-01-30T22:45:26.000Z,37.86121646873653,37.86121646873653,67.5999984741211,109,83,4.451000213623047
2015-01-30T22:45:31.000Z,37.86138058640063,37.86138058640063,67.0,109,81,4.320000171661377
2015-01-30T22:45:36.000Z,37.86155316978693,37.86155316978693,65.80000305175781,111,80,4.3480000495910645
2015-01-30T22:45:37.000Z,37.86158476956189,37.86158476956189,65.80000305175781,112,79,4.3480000495910645
2015-01-30T22:45:40.000Z,37.861682418733835,37.861682418733835,64.5999984741211,114,78,4.339000225067139
2015-01-30T22:45:42.000Z,37.86174712702632,37.86174712702632,63.599998474121094,115,93,4.320000171661377
2015-01-30T22:45:44.000Z,37.8618136793375,37.8618136793375,62.400001525878906,115,81,4.301000118255615
2015-01-30T22:45:50.000Z,37.86201333627105,37.86201333627105,62.599998474121094,118,81,4.160999774932861
2015-01-30T22:45:54.000Z,37.86203152500093,37.86203152500093,64.0,120,82,4.002999782562256
2015-01-30T22:45:57.000Z,37.862004870548844,37.862004870548844,65.4000015258789,121,82,3.825999975204468
2015-01-30T22:46:00.000Z,37.86198592744768,37.86198592744768,66.4000015258789,122,80,3.6579999923706055
